1,na,42875
2,do,37865
3,nie,30518
4,że,22474
5,dnia,18326
6,się,18086
7,art,17233
8,od,16633
9,przez,15629
10,sąd,14012
11,roku,12994
12,pracy,12821
13,za,11813
14,jest,11507
15,oraz,9848
16,zł,9475
17,tym,8199
18,to,7611
19,sądu,7167
20,co,7048
21,po,6802
22,sprawie,6706
23,iż,6604
24,umowy,6007
25,dniu,5560
26,przy,5394
27,jego,5334
28,lub,5135
29,akt,4971
30,podstawie,4949
31,tego,4895
32,powoda,4888
33,ustawy,4806
34,nr,4797
35,jej,4667
36,jak,4569
37,dla,4548
38,ust,4515
39,ze,4193
40,jako,4135
41,zakresie,4005
42,postępowania,3968
43,kpc,3844
44,stycznia,3812
45,należy,3810
46,sprawy,3795
47,powód,3746
48,zgodnie,3734
49,pracę,3691
50,także,3659
51,prawa,3577
52,które,3527
53,kosztów,3525
54,pozwanego,3481
55,również,3432
56,wysokości,3387
57,rzecz,3346
58,wyroku,3323
59,tytułu,3279
60,pkt,3133
61,ma,3032
62,ich,3019
63,sposób,3007
64,może,2979
65,czy,2924
66,okoliczności,2904
67,tej,2901
68,grudnia,2887
69,było,2870
70,był,2836
71,sygn,2819
72,strony,2816
73,ubezpieczeń,2786
74,ii,2761
75,kc,2755
76,zeznania,2736
77,społecznych,2691
78,wyrok,2652
79,kwotę,2642
80,okres,2642
81,października,2624
82,tj,2603
83,pozwany,2598
84,związku,2591
85,być,2576
86,okresie,2563
87,była,2483
88,są,2482
89,okręgowy,2472
90,przed,2426
91,wynika,2417
92,kwoty,2412
93,który,2351
94,też,2331
95,zatem,2328
96,powódki,2326
97,złotych,2311
98,listopada,2296
99,bowiem,2293
100,lipca,2247
101,oskarżonego,2242
102,marca,2229
103,gdy,2210
104,rejonowy,2199
105,decyzji,2173
106,kk,2165
107,lutego,2163
108,wobec,2162
109,powódka,2148
110,ten,2136
111,września,2132
112,tych,2109
113,czerwca,2091
114,zw,2087
115,ocenie,2052
116,pod,2049
117,czynności,2022
118,kwietnia,2016
119,składek,2016
120,lat,2013
121,zus,2013
122,zapłaty,2012
123,mu,1996
124,jednak,1993
125,pozwanej,1992
126,została,1989
127,poz,1976
128,nieruchomości,1971
129,maja,1963
130,instancji,1929
131,został,1919
132,niniejszej,1912
133,tylko,1907
134,opinii,1904
135,których,1876
136,której,1866
137,bez,1857
138,świadczenia,1853
139,iii,1835
140,sierpnia,1827
141,części,1824
142,którym,1817
143,jedynie,1815
144,dowód,1812
145,stosunku,1792
146,były,1776
147,przepisów,1739
148,zaś,1733
149,ubezpieczenia,1733
150,tytułem,1720
151,która,1701
152,procesu,1693
153,wskazał,1693
154,prawo,1688
155,wnioskodawczyni,1682
156,wynagrodzenia,1676
157,biegłego,1664
158,świadka,1654
159,natomiast,1647
160,poprzez,1633
161,jeżeli,1633
162,zatrudnienia,1632
163,stan,1611
164,najwyższego,1610
165,warunkach,1604
166,treści,1601
167,pozwana,1593
168,sytuacji,1592
169,te,1576
170,wnioskodawcy,1572
171,miał,1565
172,kwocie,1563
173,spółki,1553
174,wniosek,1547
175,brak,1546
176,oskarżony,1541
177,ustalenia,1532
178,czasu,1527
179,osoby,1524
180,więc,1484
181,już,1481
182,dowodów,1481
183,oo,1468
184,zostały,1466
185,powyższe,1463
186,sp,1461
187,aby,1457
188,tak,1438
189,wnioskodawca,1436
190,można,1427
191,uwagi,1421
192,organ,1415
193,wniosku,1403
194,niego,1382
195,ale,1377
196,uznał,1371
197,go,1371
198,ww,1367
199,przypadku,1361
200,wraz,1358
201,oceny,1329
